Country,target,valid_rows,events,non_events,prevalence
United Kingdom,extreme_city_p95_h1,10439,653,9786,0.06255388447169269
United Kingdom,extreme_abs_151_h3,10293,1,10292,9.71534052268532e-05
United Kingdom,extreme_abs_201_h3,10293,0,10293,0.0
United Kingdom,extreme_city_p90_h3,10293,1153,9140,0.11201787622656174
United Kingdom,extreme_city_p95_h3,10293,643,9650,0.06246963956086661
United States,extreme_abs_151_h1,27885,35,27850,0.0012551551013089475
United States,extreme_abs_201_h1,27885,0,27885,0.0
United States,extreme_city_p90_h1,27885,3107,24778,0.11142191142191142
United States,extreme_city_p95_h1,27885,1679,26206,0.060211583288506364
United States,extreme_abs_151_h3,27495,35,27460,0.0012729587197672304
United States,extreme_abs_201_h3,27495,0,27495,0.0
United States,extreme_city_p90_h3,27495,3042,24453,0.11063829787234042
United States,extreme_city_p95_h3,27495,1638,25857,0.059574468085106386
Vietnam,extreme_abs_151_h1,10868,838,10030,0.0771071034228929
Vietnam,extreme_abs_201_h1,10868,3,10865,0.00027603974972396027
Vietnam,extreme_city_p90_h1,10868,1169,9699,0.1075634891424365
Vietnam,extreme_city_p95_h1,10868,643,10225,0.05916451969083548
Vietnam,extreme_abs_151_h3,10716,821,9895,0.07661440836132885
Vietnam,extreme_abs_201_h3,10716,3,10713,0.0002799552071668533
Vietnam,extreme_city_p90_h3,10716,1144,9572,0.10675625233296006
Vietnam,extreme_city_p95_h3,10716,628,10088,0.05860395670026129
