dataset,target,held_out_country,eligible_for_training,test_rows,test_events,test_non_events,test_event_rate,test_months,test_start_month,test_end_month,test_class_count,has_two_test_classes,fold_status,diagnostic_reason,pr_auc_reliability,f1_reliability,train_rows,train_events,train_event_rate,validation_rows,validation_events,validation_event_rate,validation_stratified,random_seed,validation_size,min_test_rows,min_train_rows
openaq,PM25_p95_rel_p90_h3,Chile,False,1,1,0,1.0,1,2023-05,2023-05,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,China,True,18,1,17,0.05555555555555555,18,2019-05,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,136,26,0.19117647058823528,24,5,0.20833333333333334,True,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,France,True,12,2,10,0.16666666666666666,12,2019-01,2023-05,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,141,25,0.1773049645390071,25,5,0.2,True,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,Germany,False,3,2,1,0.6666666666666666,3,2019-09,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,India,False,7,1,6,0.14285714285714285,7,2020-01,2022-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,Mexico,False,6,2,4,0.3333333333333333,6,2022-10,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,Norway,False,4,1,3,0.25,4,2021-03,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,South Africa,True,13,4,9,0.3076923076923077,13,2022-02,2023-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,140,24,0.17142857142857143,25,4,0.16,True,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,Spain,False,1,0,1,0.0,1,2023-04,2023-04,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,Sweden,False,2,0,2,0.0,2,2022-10,2023-01,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,Thailand,True,8,2,6,0.25,8,2022-05,2023-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,144,25,0.1736111111111111,26,5,0.19230769230769232,True,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,United Kingdom,False,6,1,5,0.16666666666666666,6,2021-10,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM25_p95_rel_p90_h3,United States,True,79,14,65,0.17721518987341772,79,2016-08,2023-02,2,True,usable,test fold has both classes and enough support for cautious aggregation,usable,usable,84,15,0.17857142857142858,15,3,0.2,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Australia,True,10,1,9,0.1,10,2021-03,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,175,31,0.17714285714285713,32,6,0.1875,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Belgium,False,2,0,2,0.0,2,2022-01,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Canada,False,1,1,0,1.0,1,2023-07,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Chile,False,6,1,5,0.16666666666666666,6,2017-05,2023-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,China,True,15,2,13,0.13333333333333333,15,2019-10,2021-07,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,171,30,0.17543859649122806,31,6,0.1935483870967742,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Czech Republic,False,1,0,1,0.0,1,2023-07,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Finland,False,1,0,1,0.0,1,2021-12,2021-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,France,True,24,3,21,0.125,24,2017-11,2023-07,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,164,30,0.18292682926829268,29,5,0.1724137931034483,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Germany,True,8,1,7,0.125,8,2018-12,2023-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,177,31,0.1751412429378531,32,6,0.1875,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Hungary,False,2,0,2,0.0,2,2023-06,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,India,True,10,1,9,0.1,10,2018-04,2022-09,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,175,31,0.17714285714285713,32,6,0.1875,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Italy,False,6,0,6,0.0,6,2022-06,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Mexico,False,6,0,6,0.0,6,2022-09,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Mongolia,False,1,0,1,0.0,1,2019-12,2019-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Norway,False,6,0,6,0.0,6,2019-06,2023-07,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,South Africa,True,15,3,12,0.2,15,2021-11,2023-04,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,171,30,0.17543859649122806,31,5,0.16129032258064516,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Spain,False,6,3,3,0.5,6,2022-01,2023-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Sweden,False,1,0,1,0.0,1,2023-04,2023-04,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Thailand,True,25,5,20,0.2,25,2017-06,2023-04,2,True,usable,test fold has both classes and enough support for cautious aggregation,usable,usable,163,28,0.17177914110429449,29,5,0.1724137931034483,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,Turkey,True,9,3,6,0.3333333333333333,9,2017-09,2023-04,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,176,30,0.17045454545454544,32,5,0.15625,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,United Kingdom,True,10,3,7,0.3,10,2021-10,2023-07,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,175,30,0.17142857142857143,32,5,0.15625,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h1,United States,True,52,11,41,0.21153846153846154,52,2016-12,2023-04,2,True,usable,test fold has both classes and enough support for cautious aggregation,usable,usable,140,23,0.16428571428571428,25,4,0.16,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Australia,False,7,0,7,0.0,7,2021-01,2023-05,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Belgium,False,1,0,1,0.0,1,2023-04,2023-04,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Canada,False,4,2,2,0.5,4,2021-04,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Chile,False,1,0,1,0.0,1,2023-05,2023-05,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,China,True,16,1,15,0.0625,16,2019-05,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,144,29,0.2013888888888889,26,5,0.19230769230769232,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,France,True,19,3,16,0.15789473684210525,19,2017-11,2023-05,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,141,27,0.19148936170212766,26,5,0.19230769230769232,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Germany,False,3,1,2,0.3333333333333333,3,2019-09,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,India,False,6,1,5,0.16666666666666666,6,2020-01,2022-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Italy,False,3,0,3,0.0,3,2022-07,2023-05,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Mexico,False,6,0,6,0.0,6,2022-10,2023-05,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Norway,False,6,2,4,0.3333333333333333,6,2019-03,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,South Africa,True,15,3,12,0.2,15,2021-11,2023-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,145,27,0.18620689655172415,26,5,0.19230769230769232,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Spain,False,4,1,3,0.25,4,2020-06,2023-04,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Sweden,False,1,0,1,0.0,1,2023-01,2023-01,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Thailand,True,23,6,17,0.2608695652173913,23,2018-03,2023-02,2,True,usable,test fold has both classes and enough support for cautious aggregation,usable,usable,138,25,0.18115942028985507,25,4,0.16,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,Turkey,True,10,3,7,0.3,10,2017-07,2023-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,149,27,0.18120805369127516,27,5,0.18518518518518517,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,United Kingdom,True,10,2,8,0.2,10,2021-08,2023-05,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,149,28,0.18791946308724833,27,5,0.18518518518518517,True,42,0.15,8,30
openaq,PM10_p95_rel_p90_h3,United States,True,51,10,41,0.19607843137254902,51,2016-12,2023-02,2,True,usable,test fold has both classes and enough support for cautious aggregation,usable,usable,114,21,0.18421052631578946,21,4,0.19047619047619047,True,42,0.15,8,30
